A,B,StadDistMiles
AmericanAirlines Arena (MIA),BMO Harris Bradley Center (MIL),1266
AmericanAirlines Arena (MIA),Philips Arena (ATL),603
AmericanAirlines Arena (MIA),Spectrum Center (CHA),651
AmericanAirlines Arena (MIA),AmericanAirlines Arena (MIA),0
AmericanAirlines Arena (MIA),Amway Center (ORL),202
AmericanAirlines Arena (MIA),Verizon Center (WSH),922
AmericanAirlines Arena (MIA),ORACLE Arena (GS),2585
AmericanAirlines Arena (MIA),Staples Center (LAC),2339
AmericanAirlines Arena (MIA),Staples Center (LAL),2339
AmericanAirlines Arena (MIA),Talking Stick Resort Arena (PHX),1980
AmericanAirlines Arena (MIA),Golden 1 Center (SAC),2550
AmericanAirlines Arena (MIA),American Airlines Center (DAL),1121
AmericanAirlines Arena (MIA),Toyota Center (HOU),967
AmericanAirlines Arena (MIA),FedExForum (MEM),871
AmericanAirlines Arena (MIA),Smoothie King Center (NO),668
AmericanAirlines Arena (MIA),AT&T Center (SA),1144
AmericanAirlines Arena (MIA),Pepsi Center (DEN),1725
AmericanAirlines Arena (MIA),Target Center (MIN),1511
AmericanAirlines Arena (MIA),Chesapeake Energy Arena (OKC),1225
AmericanAirlines Arena (MIA),Moda Center at the Rose Quarter (POR),2706
AmericanAirlines Arena (MIA),Vivint Smart Home Arena (UTA),2087
Amway Center (ORL),TD Garden (BOS),1114
Amway Center (ORL),Barclays Center (BKN),936
Amway Center (ORL),Madison Square Garden (NY),940
Amway Center (ORL),Wells Fargo Center (PHI),859
Amway Center (ORL),Air Canada Centre (TOR),1047
Amway Center (ORL),United Center (CHI),985
Amway Center (ORL),Quicken Loans Arena (CLE),893
Amway Center (ORL),The Palace of Auburn Hills (DET),981
Amway Center (ORL),Bankers Life Fieldhouse (IND),820
Amway Center (ORL),BMO Harris Bradley Center (MIL),1064
Amway Center (ORL),Philips Arena (ATL),401
Amway Center (ORL),Spectrum Center (CHA),461
Amway Center (ORL),AmericanAirlines Arena (MIA),202
Amway Center (ORL),Amway Center (ORL),0
Amway Center (ORL),Verizon Center (WSH),756
Amway Center (ORL),ORACLE Arena (GS),2433
Amway Center (ORL),Staples Center (LAC),2202
Amway Center (ORL),Staples Center (LAL),2202
Amway Center (ORL),Talking Stick Resort Arena (PHX),1845
Amway Center (ORL),Golden 1 Center (SAC),2395
Amway Center (ORL),American Airlines Center (DAL),974
Amway Center (ORL),Toyota Center (HOU),849
Amway Center (ORL),FedExForum (MEM),683
Amway Center (ORL),Smoothie King Center (NO),533
Amway Center (ORL),AT&T Center (SA),1033
Amway Center (ORL),Pepsi Center (DEN),1552
Amway Center (ORL),Target Center (MIN),1309
Amway Center (ORL),Chesapeake Energy Arena (OKC),1059
Amway Center (ORL),Moda Center at the Rose Quarter (POR),2529
Amway Center (ORL),Vivint Smart Home Arena (UTA),1918
Verizon Center (WSH),TD Garden (BOS),393
Verizon Center (WSH),Barclays Center (BKN),203
Verizon Center (WSH),Madison Square Garden (NY),205
Verizon Center (WSH),Wells Fargo Center (PHI),120
Verizon Center (WSH),Air Canada Centre (TOR),349
Verizon Center (WSH),United Center (CHI),598
Verizon Center (WSH),Quicken Loans Arena (CLE),305
Verizon Center (WSH),The Palace of Auburn Hills (DET),418
Verizon Center (WSH),Bankers Life Fieldhouse (IND),492
Verizon Center (WSH),BMO Harris Bradley Center (MIL),636
Verizon Center (WSH),Philips Arena (ATL),542
Verizon Center (WSH),Spectrum Center (CHA),329
Verizon Center (WSH),AmericanAirlines Arena (MIA),922
Verizon Center (WSH),Amway Center (ORL),756
Verizon Center (WSH),Verizon Center (WSH),0
Verizon Center (WSH),ORACLE Arena (GS),2433
Verizon Center (WSH),Staples Center (LAC),2301
Verizon Center (WSH),Staples Center (LAL),2301
Verizon Center (WSH),Talking Stick Resort Arena (PHX),1982
Verizon Center (WSH),Golden 1 Center (SAC),2378
